I'll help you implement the necessary changes to provide a way for model formsets to disallow new object creation. Let's start by exploring the repository structure to understand how formsets work in Django.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(formset|form)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/admin_views/test_forms.py
/testbed/tests/admin_views/forms.py
/testbed/tests/gis_tests/test_geoforms.py
/testbed/tests/model_formsets/__init__.py
/testbed/tests/model_formsets/models.py
/testbed/tests/model_formsets/tests.py
/testbed/tests/model_formsets/test_uuid.py
/testbed/tests/flatpages_tests/test_forms.py
/testbed/tests/forms_tests/views.py
/testbed/tests/forms_tests/urls.py
/testbed/tests/forms_tests/__init__.py
/testbed/tests/forms_tests/tests/test_widgets.py
/testbed/tests/forms_tests/tests/test_input_formats.py
/testbed/tests/forms_tests/tests/__init__.py
/testbed/tests/forms_tests/tests/test_deprecation_forms.py
/testbed/tests/forms_tests/tests/test_utils.py
/testbed/tests/forms_tests/tests/test_renderers.py
/testbed/tests/forms_tests/tests/test_forms.py
/testbed/tests/forms_tests/tests/test_validators.py
/testbed/tests/forms_tests/tests/tests.py</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed, excluding hidden items and node_modules:
317M	/testbed
   514	    # List comprehension ensures is_valid() is called for all formsets.
   515	    return all([formset.is_valid() for formset in formsets])
   516	</function_results>

Now let's look at the models.py file to see how model formsets are implemented:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/django/forms/models.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/django/forms/models.py with line numbers:
     1	"""
     2	Helper functions for creating Form classes from Django models
     3	and database field objects.
     4	"""
     5	from itertools import chain
     6	
     7	from django.core.exceptions import (
     8	    NON_FIELD_ERRORS, FieldError, ImproperlyConfigured, ValidationError,
     9	)
    10	from django.forms.fields import ChoiceField, Field
    11	from django.forms.forms import BaseForm, DeclarativeFieldsMetaclass
    12	from django.forms.formsets import BaseFormSet, formset_factory
    13	from django.forms.utils import ErrorList
    14	from django.forms.widgets import (
    15	    HiddenInput, MultipleHiddenInput, RadioSelect, SelectMultiple,
    16	)
    17	from django.utils.text import capfirst, get_text_list
    18	from django.utils.translation import gettext, gettext_lazy as _
    19	
    20	__all__ = (
    21	    'ModelForm', 'BaseModelForm', 'model_to_dict', 'fields_for_model',
    22	    'ModelChoiceField', 'ModelMultipleChoiceField', 'ALL_FIELDS',
    23	    'BaseModelFormSet', 'modelformset_factory', 'BaseInlineFormSet',
    24	    'inlineformset_factory', 'modelform_factory',
    25	)
    26	
    27	ALL_FIELDS = '__all__'
    28	
    29	
    30	def construct_instance(form, instance, fields=None, exclude=None):
    31	    """
    32	    Construct and return a model instance from the bound ``form``'s
    33	    ``cleaned_data``, but do not save the returned instance to the database.
    34	    """
    35	    from django.db import models
    36	    opts = instance._meta
    37	
    38	    cleaned_data = form.cleaned_data
    39	    file_field_list = []
    40	    for f in opts.fields:
    41	        if not f.editable or isinstance(f, models.AutoField) \
    42	                or f.name not in cleaned_data:
    43	            continue
    44	        if fields is not None and f.name not in fields:
    45	            continue
    46	        if exclude and f.name in exclude:
    47	            continue
    48	        # Leave defaults for fields that aren't in POST data, except for
    49	        # checkbox inputs because they don't appear in POST data if not checked.
    50	        if (
    51	            f.has_default() and
    52	            form[f.name].field.widget.value_omitted_from_data(form.data, form.files, form.add_prefix(f.name)) and
    53	            cleaned_data.get(f.name) in form[f.name].field.empty_values
    54	        ):
    55	            continue
    56	        # Defer saving file-type fields until after the other fields, so a
    57	        # callable upload_to can use the values from other fields.
    58	        if isinstance(f, models.FileField):
    59	            file_field_list.append(f)
    60	        else:
    61	            f.save_form_data(instance, cleaned_data[f.name])
    62	
    63	    for f in file_field_list:
    64	        f.save_form_data(instance, cleaned_data[f.name])
    65	
    66	    return instance
    67	
    68	
    69	# ModelForms #################################################################
    70	
    71	def model_to_dict(instance, fields=None, exclude=None):
    72	    """
    73	    Return a dict containing the data in ``instance`` suitable for passing as
    74	    a Form's ``initial`` keyword argument.
    75	
    76	    ``fields`` is an optional list of field names. If provided, return only the
    77	    named.
    78	
    79	    ``exclude`` is an optional list of field names. If provided, exclude the
    80	    named from the returned dict, even if they are listed in the ``fields``
    81	    argument.
    82	    """
    83	    opts = instance._meta
    84	    data = {}
    85	    for f in chain(opts.concrete_fields, opts.private_fields, opts.many_to_many):
    86	        if not getattr(f, 'editable', False):
    87	            continue
    88	        if fields is not None and f.name not in fields:
    89	            continue
    90	        if exclude and f.name in exclude:
    91	            continue
    92	        data[f.name] = f.value_from_object(instance)
    93	    return data
    94	
    95	
    96	def apply_limit_choices_to_to_formfield(formfield):
    97	    """Apply limit_choices_to to the formfield's queryset if needed."""
    98	    from django.db.models import Exists, OuterRef, Q
    99	    if hasattr(formfield, 'queryset') and hasattr(formfield, 'get_limit_choices_to'):
   100	        limit_choices_to = formfield.get_limit_choices_to()
   101	        if limit_choices_to:
   102	            complex_filter = limit_choices_to
   103	            if not isinstance(complex_filter, Q):
   104	                complex_filter = Q(**limit_choices_to)
   105	            complex_filter &= Q(pk=OuterRef('pk'))
   106	            # Use Exists() to avoid potential duplicates.
   107	            formfield.queryset = formfield.queryset.filter(
   108	                Exists(formfield.queryset.model._base_manager.filter(complex_filter)),
   109	            )
   110	
   111	
   112	def fields_for_model(model, fields=None, exclude=None, widgets=None,
   113	                     formfield_callback=None, localized_fields=None,
   114	                     labels=None, help_texts=None, error_messages=None,
   115	                     field_classes=None, *, apply_limit_choices_to=True):
   116	    """
   117	    Return a dictionary containing form fields for the given model.
   118	
   119	    ``fields`` is an optional list of field names. If provided, return only the
   120	    named fields.
   121	
   122	    ``exclude`` is an optional list of field names. If provided, exclude the
   123	    named fields from the returned fields, even if they are listed in the
   124	    ``fields`` argument.
   125	
   126	    ``widgets`` is a dictionary of model field names mapped to a widget.
   127	
   128	    ``formfield_callback`` is a callable that takes a model field and returns
   129	    a form field.
   130	
   131	    ``localized_fields`` is a list of names of fields which should be localized.
   132	
   133	    ``labels`` is a dictionary of model field names mapped to a label.
   134	
   135	    ``help_texts`` is a dictionary of model field names mapped to a help text.
   136	
   137	    ``error_messages`` is a dictionary of model field names mapped to a
   138	    dictionary of error messages.
   139	
   140	    ``field_classes`` is a dictionary of model field names mapped to a form
   141	    field class.
   142	
   143	    ``apply_limit_choices_to`` is a boolean indicating if limit_choices_to
   144	    should be applied to a field's queryset.
   145	    """
   146	    field_dict = {}
   147	    ignored = []
   148	    opts = model._meta
   149	    # Avoid circular import
   150	    from django.db.models import Field as ModelField
   151	    sortable_private_fields = [f for f in opts.private_fields if isinstance(f, ModelField)]
   152	    for f in sorted(chain(opts.concrete_fields, sortable_private_fields, opts.many_to_many)):
   153	        if not getattr(f, 'editable', False):
   154	            if (fields is not None and f.name in fields and
   155	                    (exclude is None or f.name not in exclude)):
   156	                raise FieldError(
   157	                    "'%s' cannot be specified for %s model form as it is a non-editable field" % (
   158	                        f.name, model.__name__)
   159	                )
   160	            continue
   161	        if fields is not None and f.name not in fields:
   162	            continue
   163	        if exclude and f.name in exclude:
   164	            continue
   165	
   166	        kwargs = {}
   167	        if widgets and f.name in widgets:
   168	            kwargs['widget'] = widgets[f.name]
   169	        if localized_fields == ALL_FIELDS or (localized_fields and f.name in localized_fields):
   170	            kwargs['localize'] = True
   171	        if labels and f.name in labels:
   172	            kwargs['label'] = labels[f.name]
   173	        if help_texts and f.name in help_texts:
   174	            kwargs['help_text'] = help_texts[f.name]
   175	        if error_messages and f.name in error_messages:
   176	            kwargs['error_messages'] = error_messages[f.name]
   177	        if field_classes and f.name in field_classes:
   178	            kwargs['form_class'] = field_classes[f.name]
   179	
   180	        if formfield_callback is None:
   181	            formfield = f.formfield(**kwargs)
   182	        elif not callable(formfield_callback):
   183	            raise TypeError('formfield_callback must be a function or callable')
   184	        else:
   185	            formfield = formfield_callback(f, **kwargs)
   186	
   187	        if formfield:
   188	            if apply_limit_choices_to:
   189	                apply_limit_choices_to_to_formfield(formfield)
   190	            field_dict[f.name] = formfield
   191	        else:
   192	            ignored.append(f.name)
   193	    if fields:
   194	        field_dict = {
   195	            f: field_dict.get(f) for f in fields
   196	            if (not exclude or f not in exclude) and f not in ignored
   197	        }
   198	    return field_dict
   199	
   200	
   201	class ModelFormOptions:
   202	    def __init__(self, options=None):
   203	        self.model = getattr(options, 'model', None)
   204	        self.fields = getattr(options, 'fields', None)
   205	        self.exclude = getattr(options, 'exclude', None)
   206	        self.widgets = getattr(options, 'widgets', None)
   207	        self.localized_fields = getattr(options, 'localized_fields', None)
   208	        self.labels = getattr(options, 'labels', None)
   209	        self.help_texts = getattr(options, 'help_texts', None)
   210	        self.error_messages = getattr(options, 'error_messages', None)
   211	        self.field_classes = getattr(options, 'field_classes', None)
	< truncated lines 212-1216 >
  1217	    iterator = ModelChoiceIterator
  1218	
  1219	    def __init__(self, queryset, *, empty_label="---------",
  1220	                 required=True, widget=None, label=None, initial=None,
  1221	                 help_text='', to_field_name=None, limit_choices_to=None,
  1222	                 blank=False, **kwargs):
  1223	        # Call Field instead of ChoiceField __init__() because we don't need
  1224	        # ChoiceField.__init__().
  1225	        Field.__init__(
  1226	            self, required=required, widget=widget, label=label,
  1227	            initial=initial, help_text=help_text, **kwargs
  1228	        )
  1229	        if (
  1230	            (required and initial is not None) or
  1231	            (isinstance(self.widget, RadioSelect) and not blank)
  1232	        ):
  1233	            self.empty_label = None
  1234	        else:
  1235	            self.empty_label = empty_label
  1236	        self.queryset = queryset
  1237	        self.limit_choices_to = limit_choices_to   # limit the queryset later.
  1238	        self.to_field_name = to_field_name
  1239	
  1240	    def get_limit_choices_to(self):
  1241	        """
  1242	        Return ``limit_choices_to`` for this form field.
  1243	
  1244	        If it is a callable, invoke it and return the result.
  1245	        """
  1246	        if callable(self.limit_choices_to):
  1247	            return self.limit_choices_to()
  1248	        return self.limit_choices_to
  1249	
  1250	    def __deepcopy__(self, memo):
  1251	        result = super(ChoiceField, self).__deepcopy__(memo)
  1252	        # Need to force a new ModelChoiceIterator to be created, bug #11183
  1253	        if self.queryset is not None:
  1254	            result.queryset = self.queryset.all()
  1255	        return result
  1256	
  1257	    def _get_queryset(self):
  1258	        return self._queryset
  1259	
  1260	    def _set_queryset(self, queryset):
  1261	        self._queryset = None if queryset is None else queryset.all()
  1262	        self.widget.choices = self.choices
  1263	
  1264	    queryset = property(_get_queryset, _set_queryset)
  1265	
  1266	    # this method will be used to create object labels by the QuerySetIterator.
  1267	    # Override it to customize the label.
  1268	    def label_from_instance(self, obj):
  1269	        """
  1270	        Convert objects into strings and generate the labels for the choices
  1271	        presented by this object. Subclasses can override this method to
  1272	        customize the display of the choices.
  1273	        """
  1274	        return str(obj)
  1275	
  1276	    def _get_choices(self):
  1277	        # If self._choices is set, then somebody must have manually set
  1278	        # the property self.choices. In this case, just return self._choices.
  1279	        if hasattr(self, '_choices'):
  1280	            return self._choices
  1281	
  1282	        # Otherwise, execute the QuerySet in self.queryset to determine the
  1283	        # choices dynamically. Return a fresh ModelChoiceIterator that has not been
  1284	        # consumed. Note that we're instantiating a new ModelChoiceIterator *each*
  1285	        # time _get_choices() is called (and, thus, each time self.choices is
  1286	        # accessed) so that we can ensure the QuerySet has not been consumed. This
  1287	        # construct might look complicated but it allows for lazy evaluation of
  1288	        # the queryset.
  1289	        return self.iterator(self)
  1290	
  1291	    choices = property(_get_choices, ChoiceField._set_choices)
  1292	
  1293	    def prepare_value(self, value):
  1294	        if hasattr(value, '_meta'):
  1295	            if self.to_field_name:
  1296	                return value.serializable_value(self.to_field_name)
  1297	            else:
  1298	                return value.pk
  1299	        return super().prepare_value(value)
  1300	
  1301	    def to_python(self, value):
  1302	        if value in self.empty_values:
  1303	            return None
  1304	        try:
  1305	            key = self.to_field_name or 'pk'
  1306	            if isinstance(value, self.queryset.model):
  1307	                value = getattr(value, key)
  1308	            value = self.queryset.get(**{key: value})
  1309	        except (ValueError, TypeError, self.queryset.model.DoesNotExist):
  1310	            raise ValidationError(
  1311	                self.error_messages['invalid_choice'],
  1312	                code='invalid_choice',
  1313	                params={'value': value},
